ra,dec,n_kepler_lcs,has_kepler_data
0.1856063,-54.8308228,0,False
0.325761,-8.9262512,0,False
0.3620995,39.3837953,0,False
0.7744866,-62.4693167,0,False
1.0465696,-47.3606352,0,False
2.2715087,-27.1217452,0,False
3.9032733,-11.9382645,0,False
3.9579137,13.5576175,0,False
3.9617073,1.2005122,0,False
4.1463468,-10.9764226,0,False
4.4471631,-66.3589285,0,False
4.5239602,59.7661983,0,False
4.6030424,-15.2674044,0,False
4.7730178,-9.9661505,0,False
4.859275,44.0275965,0,False
5.1605621,-23.9357894,0,False
5.1669536,31.9899732,0,False
5.2377567,-35.998465,0,False
5.618525,-59.9425892,0,False
